customer_no,store_id,id,uuid
201810-015683,82281507,8807,94f3cfc6-edfe-4449-959c-2794571fd329
,82509525,8806,521a4439-48df-469f-9d7e-57ffc23ccd9d
,82618385,4952,d8a3f8b1-6175-4a6a-b170-41596e2b1cfa
,82669753,9114,02c68098-be4f-44d3-8a2a-41a0bd211952
201711-002107,8292,5704,95e888df-9f9a-479f-9d27-81be4c708772
201700-001771,82mm,2584,bf1c203e-7bea-4d85-858f-81c0b76a467c
201712-002691,8322263,5801,232fc3e2-30a6-45f7-8279-7c29c00b15c2
201810-015311,8356699,8478,709210d2-5125-45df-91ba-daf3b74a04b2
201700-001736,8528,2459,ce86fbba-32c4-4ef0-9edc-154d2e823c71
201808-013762,8711707,7809,251d6513-900b-4526-b774-0c614ed9d99a
201808-014009,87117072,7837,b226e3ce-a582-42f8-b52f-231454e05f4d
201808-014112,87710691,7902,7dbf6828-1603-4dea-83a4-f1382f982dcf
201700-001919,87723355,2905,68c5e776-c901-4db9-ba40-222d71add824
,878168,8004,ab2ea2c1-accb-4ce8-9746-45f573eefc3a
201806-012795,88,7366,dbb7f9e3-08b6-4cbd-934d-c4d51d15b712
,8870118,4224,48b3ff31-1793-442b-a2d0-6abeaf527505
,888888,7095,18dc431c-f6cf-4dea-ac50-a7568c84db0f
201709-001284,88chicken,4944,f31da315-9380-4619-bcb9-2a7057570ed9
201700-001224,88kbbq,1639,3436b8c9-f7c0-4a25-aa59-9db88d2c7aa2
,89213662,5129,71ae5b10-2db7-4ab7-9991-ffa1500e1fc4
,89520408,5997,e6ecfc60-3d9a-4928-8891-b2093ecd5a91
201807-013524,8bowhome,7793,4d701d67-5cc8-424b-ac50-03de4935d7db
201700-001868,8fongin,2675,cff515b3-722a-4015-bafa-11a1e290293c
,8more,2539,2ec75c52-889c-42ff-8d29-1a13f21f0b76
,8more02,6847,52a6e664-cd56-42a2-a655-e86ae906a3a8
201700-000362,9-1cafe,656,009f3654-d0cf-41a7-9774-49800c003dd1
201700-003184,900barbecue,4655,d4872f13-6a29-4ba8-b161-9412256ba68b
,918,10469,5ab958c7-d543-4eaa-be85-8d04f4acd9e7
,923dessert,8313,762f1643-009d-4e38-ab29-103c5b24325c
